iter	Passed	Remaining
0	5	4220
1	9	3747
2	14	3732
3	18	3597
4	21	3451
5	25	3346
6	29	3299
7	32	3240
8	36	3192
9	39	3159
10	43	3150
11	47	3127
12	50	3086
13	54	3060
14	58	3052
15	61	3018
16	65	2996
17	68	2963
18	72	2963
19	75	2950
20	79	2944
21	82	2924
22	86	2909
23	89	2897
24	92	2876
25	96	2871
26	99	2859
27	104	2868
28	107	2858
29	110	2848
30	114	2847
31	118	2841
32	122	2839
33	125	2827
34	128	2817
35	132	2815
36	136	2813
37	139	2805
38	143	2805
39	147	2798
40	150	2794
41	154	2787
42	159	2800
43	162	2794
44	166	2791
45	170	2787
46	173	2783
47	177	2778
48	180	2771
49	184	2767
50	188	2765
51	192	2763
52	195	2757
53	199	2752
54	202	2749
55	206	2745
56	210	2737
57	213	2734
58	217	2730
59	220	2721
60	224	2718
61	228	2713
62	231	2714
63	235	2710
64	239	2706
65	242	2701
66	248	2713
67	251	2708
68	255	2706
69	259	2701
70	263	2702
71	267	2702
72	271	2699
73	278	2731
74	282	2729
75	286	2730
76	294	2763
77	304	2816
78	309	2820
79	315	2838
80	320	2845
81	324	2843
82	328	2835
83	331	2826
84	340	2861
85	343	2853
86	347	2847
87	351	2841
88	354	2830
89	357	2820
90	360	2808
91	363	2798
92	366	2788
93	370	2780
94	373	2771
95	376	2762
96	380	2754
97	383	2745
98	387	2740
99	390	2731
100	393	2723
101	395	2709
102	398	2699
103	402	2691
104	405	2686
105	408	2676
106	411	2667
107	415	2662
108	419	2661
109	424	2659
110	427	2652
111	431	2652
112	435	2644
113	438	2637
114	442	2633
115	445	2628
116	451	2636
117	456	2637
118	459	2632
119	462	2623
120	465	2614
121	470	2613
122	474	2610
123	477	2604
124	480	2596
125	484	2590
126	487	2585
127	491	2580
128	495	2576
129	498	2571
130	503	2570
131	507	2567
132	510	2559
133	513	2552
134	516	2545
135	520	2539
136	523	2533
137	527	2531
138	532	2530
139	535	2526
140	539	2521
141	542	2513
142	546	2509
143	550	2505
144	553	2501
145	557	2495
146	561	2495
147	565	2489
148	568	2483
149	571	2477
150	574	2471
151	578	2465
152	581	2460
153	585	2455
154	588	2449
155	592	2447
156	596	2441
157	599	2434
158	602	2428
159	605	2420
160	610	2422
161	613	2417
162	618	2415
163	623	2418
164	627	2414
165	630	2409
166	634	2404
167	636	2392
168	642	2398
169	646	2397
170	651	2394
171	656	2397
172	659	2392
173	665	2392
174	672	2402
175	676	2398
176	681	2399
177	687	2402
178	694	2410
179	703	2422
180	709	2426
181	715	2427
182	723	2439
183	727	2437
184	731	2431
185	739	2442
186	747	2451
187	756	2463
188	763	2467
189	775	2489
190	781	2491
191	798	2528
192	811	2550
193	822	2569
194	839	2604
195	853	2630
196	860	2635
197	868	2640
198	874	2641
199	887	2662
200	894	2666
201	902	2670
202	906	2666
203	911	2663
204	936	2717
205	939	2707
206	966	2769
207	982	2795
208	996	2817
209	1006	2826
210	1013	2828
211	1027	2849
212	1032	2845
213	1040	2848
214	1046	2846
215	1052	2846
216	1063	2858
217	1065	2845
218	1074	2851
219	1083	2855
220	1090	2856
221	1098	2860
222	1102	2851
223	1108	2851
224	1118	2857
225	1137	2888
226	1147	2897
227	1156	2901
228	1164	2903
229	1181	2927
230	1184	2916
231	1187	2907
232	1197	2913
233	1206	2918
234	1223	2941
235	1234	2950
236	1252	2975
237	1261	2979
238	1270	2981
239	1290	3011
240	1306	3030
241	1312	3026
242	1319	3024
243	1325	3020
244	1329	3012
245	1335	3008
246	1340	3002
247	1345	2994
248	1350	2987
249	1358	2988
250	1364	2983
251	1371	2983
252	1375	2973
253	1378	2963
254	1383	2957
255	1388	2951
256	1394	2945
257	1398	2938
258	1403	2932
259	1410	2929
260	1416	2924
261	1419	2914
262	1423	2907
263	1431	2906
264	1436	2899
265	1438	2888
266	1441	2877
267	1446	2872
268	1449	2861
269	1455	2857
270	1461	2853
271	1467	2847
272	1475	2847
273	1478	2838
274	1483	2832
275	1488	2826
276	1493	2820
277	1499	2816
278	1503	2807
279	1506	2798
280	1509	2788
281	1513	2780
282	1521	2778
283	1525	2771
284	1532	2769
285	1537	2763
286	1541	2754
287	1547	2751
288	1553	2746
289	1558	2740
290	1562	2732
291	1566	2724
292	1569	2716
293	1573	2707
294	1576	2698
295	1579	2689
296	1583	2681
297	1588	2675
298	1591	2666
299	1594	2657
300	1597	2648
301	1601	2640
302	1604	2632
303	1609	2626
304	1614	2619
305	1618	2612
306	1621	2603
307	1626	2597
308	1632	2593
309	1635	2585
310	1640	2578
311	1643	2570
312	1648	2564
313	1651	2555
314	1655	2548
315	1661	2544
316	1664	2536
317	1669	2530
318	1673	2522
319	1678	2517
320	1683	2511
321	1686	2503
322	1690	2495
323	1698	2494
324	1703	2489
325	1707	2482
326	1712	2477
327	1717	2471
328	1720	2463
329	1726	2458
330	1733	2455
331	1737	2449
332	1741	2441
333	1744	2433
334	1746	2423
335	1749	2416
336	1752	2408
337	1755	2399
338	1760	2394
339	1764	2386
340	1768	2379
341	1769	2370
342	1773	2362
343	1776	2354
344	1779	2347
345	1782	2338
346	1785	2330
347	1789	2323
348	1792	2316
349	1797	2311
350	1801	2304
351	1805	2297
352	1808	2290
353	1812	2283
354	1815	2275
355	1818	2267
356	1821	2259
357	1823	2251
358	1827	2244
359	1830	2236
360	1833	2229
361	1836	2221
362	1841	2216
363	1844	2209
364	1847	2201
365	1850	2194
366	1854	2187
367	1856	2179
368	1859	2172
369	1862	2164
370	1865	2157
371	1869	2150
372	1872	2143
373	1875	2136
374	1878	2128
375	1881	2121
376	1885	2115
377	1888	2108
378	1891	2100
379	1894	2093
380	1901	2091
381	1905	2084
382	1908	2078
383	1912	2071
384	1915	2064
385	1918	2057
386	1921	2050
387	1925	2044
388	1929	2038
389	1932	2032
390	1936	2025
391	1939	2018
392	1942	2011
393	1946	2005
394	1949	1998
395	1952	1991
396	1955	1985
397	1958	1978
398	1962	1972
399	1967	1967
400	1970	1960
401	1973	1953
402	1976	1947
403	1979	1940
404	1983	1934
405	1986	1927
406	1989	1921
407	1992	1914
408	1995	1907
409	1999	1901
410	2002	1895
411	2005	1888
412	2008	1881
413	2013	1877
414	2017	1871
415	2020	1865
416	2023	1858
417	2026	1852
418	2029	1845
419	2032	1839
420	2035	1832
421	2039	1826
422	2042	1819
423	2044	1813
424	2047	1806
425	2050	1800
426	2053	1793
427	2056	1787
428	2059	1781
429	2062	1774
430	2065	1768
431	2069	1762
432	2072	1756
433	2075	1750
434	2077	1743
435	2080	1737
436	2083	1730
437	2086	1724
438	2089	1718
439	2093	1712
440	2096	1706
441	2099	1700
442	2102	1693
443	2104	1687
444	2108	1682
445	2112	1676
446	2115	1670
447	2118	1664
448	2122	1658
449	2125	1653
450	2128	1647
451	2131	1641
452	2134	1635
453	2138	1629
454	2141	1623
455	2144	1617
456	2147	1611
457	2150	1605
458	2153	1599
459	2156	1593
460	2159	1588
461	2163	1582
462	2166	1576
463	2169	1571
464	2172	1565
465	2175	1559
466	2178	1553
467	2181	1547
468	2184	1541
469	2187	1535
470	2190	1529
471	2193	1524
472	2196	1518
473	2198	1512
474	2201	1506
475	2204	1500
476	2208	1495
477	2211	1489
478	2214	1484
479	2217	1478
480	2220	1472
481	2223	1467
482	2227	1461
483	2230	1456
484	2233	1450
485	2236	1445
486	2239	1439
487	2242	1433
488	2245	1428
489	2248	1422
490	2252	1417
491	2255	1412
492	2258	1406
493	2261	1401
494	2266	1396
495	2269	1391
496	2272	1385
497	2275	1379
498	2279	1374
499	2281	1369
500	2284	1363
501	2287	1358
502	2291	1352
503	2294	1347
504	2297	1342
505	2300	1336
506	2303	1331
507	2306	1325
508	2309	1320
509	2311	1314
510	2314	1309
511	2318	1303
512	2321	1298
513	2324	1293
514	2327	1288
515	2330	1282
516	2333	1277
517	2337	1272
518	2340	1267
519	2343	1261
520	2346	1256
521	2350	1251
522	2354	1246
523	2356	1241
524	2359	1235
525	2362	1230
526	2365	1225
527	2368	1220
528	2371	1214
529	2374	1209
530	2377	1204
531	2380	1199
532	2383	1194
533	2386	1188
534	2389	1183
535	2392	1178
536	2395	1173
537	2398	1168
538	2401	1162
539	2404	1157
540	2407	1152
541	2410	1147
542	2413	1142
543	2416	1137
544	2419	1132
545	2422	1127
546	2425	1121
547	2427	1116
548	2430	1111
549	2434	1106
550	2437	1101
551	2440	1096
552	2442	1091
553	2445	1086
554	2448	1081
555	2451	1075
556	2454	1070
557	2457	1065
558	2460	1060
559	2463	1055
560	2466	1050
561	2468	1045
562	2471	1040
563	2474	1035
564	2477	1030
565	2480	1025
566	2483	1020
567	2486	1015
568	2489	1010
569	2492	1005
570	2495	1000
571	2498	995
572	2500	990
573	2503	985
574	2506	980
575	2509	975
576	2512	970
577	2515	966
578	2517	961
579	2521	956
580	2524	951
581	2527	946
582	2530	941
583	2532	936
584	2535	931
585	2538	926
586	2541	922
587	2544	917
588	2547	912
589	2550	907
590	2553	903
591	2556	898
592	2559	893
593	2562	888
594	2565	883
595	2568	879
596	2570	874
597	2573	869
598	2576	864
599	2580	860
600	2582	855
601	2586	850
602	2589	845
603	2592	841
604	2595	836
605	2597	831
606	2600	826
607	2603	822
608	2608	817
609	2611	813
610	2613	808
611	2616	803
612	2619	799
613	2622	794
614	2625	789
615	2628	785
616	2631	780
617	2634	775
618	2637	771
619	2640	766
620	2643	761
621	2645	757
622	2649	752
623	2651	747
624	2654	743
625	2657	738
626	2660	734
627	2663	729
628	2665	724
629	2669	720
630	2672	715
631	2674	711
632	2677	706
633	2680	701
634	2683	697
635	2686	692
636	2689	688
637	2692	683
638	2695	679
639	2698	674
640	2701	670
641	2704	665
642	2706	660
643	2709	656
644	2712	651
645	2715	647
646	2718	642
647	2721	638
648	2724	633
649	2727	629
650	2729	624
651	2732	620
652	2735	615
653	2737	611
654	2740	606
655	2743	602
656	2747	597
657	2749	593
658	2753	589
659	2755	584
660	2758	580
661	2761	575
662	2764	571
663	2767	566
664	2769	562
665	2772	557
666	2775	553
667	2779	549
668	2782	544
669	2785	540
670	2788	536
671	2790	531
672	2794	527
673	2797	522
674	2799	518
675	2802	514
676	2805	509
677	2808	505
678	2810	500
679	2813	496
680	2816	492
681	2819	487
682	2823	483
683	2825	479
684	2828	474
685	2831	470
686	2834	466
687	2838	462
688	2841	457
689	2844	453
690	2847	449
691	2850	444
692	2852	440
693	2855	436
694	2858	431
695	2861	427
696	2863	423
697	2867	419
698	2870	414
699	2874	410
700	2877	406
701	2880	402
702	2883	397
703	2886	393
704	2889	389
705	2894	385
706	2897	381
707	2900	376
708	2903	372
709	2906	368
710	2909	364
711	2912	359
712	2915	355
713	2918	351
714	2922	347
715	2926	343
716	2929	339
717	2933	334
718	2938	330
719	2943	327
720	2946	322
721	2949	318
722	2953	314
723	2956	310
724	2958	306
725	2961	301
726	2964	297
727	2967	293
728	2970	289
729	2972	285
730	2975	280
731	2979	276
732	2982	272
733	2985	268
734	2988	264
735	2990	260
736	2994	255
737	2996	251
738	2999	247
739	3002	243
740	3005	239
741	3007	235
742	3010	230
743	3012	226
744	3014	222
745	3017	218
746	3020	214
747	3023	210
748	3025	206
