date,user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,income_type,rent_or_mortgage,category,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met
2019-01-01,1584,276581.9628,284782.1262,0.38,325923.9126,inflation,721.0,0.56,11150.768199999999,61106.2452,265.98,45268.0228,68,0,76030.38299999999,169415.96099999998,Freelance,133136.289,Investments,Positive,8.3,Low,0.0,0
2019-01-31,1045,289247.9304,330950.9346,0.1,231151.6922,inflation,670.0,0.42,40268.4854,31947.744399999996,354.64,102349.9906,41,0,47389.656599999995,280626.632,Salary,142137.0522,Investments,Positive,22.6,Low,0.0,0
2019-03-02,1756,259880.19199999998,295732.5228,0.15,266347.0524,inflation,691.0,0.24,86161.5612,0.0,443.29999999999995,127051.5532,90,0,31356.3822,133394.2896,Freelance,97332.72119999999,Healthcare,Positive,58.8,Low,0.0,0
2019-04-01,1724,310912.0014,206364.1294,0.17,296742.3602,normal,717.0,0.16,42801.501599999996,16141.4396,443.29999999999995,20158.6242,94,0,52671.1328,128620.8352,Freelance,102459.0424,Groceries,Positive,74.5,Low,104547.872,0
2019-05-01,1600,408445.0942,193507.5428,0.34,236730.1794,inflation,795.0,0.25,23383.1884,30390.874799999998,797.9399999999999,52292.554599999996,73,0,49371.2076,88660.0,Salary,103808.44759999998,Utilities,Negative,38.7,High,214937.5514,0
2019-05-31,1985,357157.0574,343696.6962,0.26,184387.9752,recession,643.0,0.43,28654.911999999997,39995.4126,709.28,100277.1198,56,0,38216.0064,206578.68660000002,Salary,48645.0822,Healthcare,Positive,53.7,Medium,13460.3612,0
2019-06-30,1194,367535.59699999995,269137.1826,0.15,196452.828,normal,683.0,0.3,54071.9608,64759.03719999999,709.28,88227.3392,69,0,39320.71,253594.198,Freelance,56479.9664,Transportation,Positive,74.7,High,98398.4144,0
2019-07-30,1600,283922.12419999996,238451.9566,0.25,323651.55679999996,normal,655.0,0.24,46514.5824,19873.139,354.64,64962.0686,65,0,53451.3408,312663.923,Salary,128838.9388,Entertainment,Neutral,83.1,Medium,45470.1676,0
2019-08-29,1835,422474.6526,233048.1296,0.06,249472.3946,normal,715.0,0.52,9158.578,0.0,620.62,143899.61299999998,99,0,65047.182199999996,221973.609,Salary,148571.995,Education,Negative,71.6,Low,189426.52300000002,0
2019-09-28,1454,317561.5014,298855.128,0.13,194690.2672,normal,749.0,0.52,57050.936799999996,23174.837399999997,797.9399999999999,93722.48599999999,91,0,41168.384399999995,149947.1116,Salary,60480.30559999999,Entertainment,Positive,77.9,High,18706.3734,0
2019-10-28,1045,339808.0686,286440.0682,0.23,281776.5522,normal,611.0,0.19,28046.704399999995,40126.6294,797.9399999999999,97138.5558,73,0,51927.275400000006,268583.0576,Mixed,111222.19679999999,Investments,Positive,62.5,Medium,53368.000400000004,0
2019-11-27,1357,189447.8014,305370.7514,0.34,238066.28559999997,normal,669.0,0.39,25295.5846,46816.91299999999,443.29999999999995,174467.80779999998,53,0,25129.790399999998,220959.3386,Freelance,68621.0668,Entertainment,Negative,36.1,High,0.0,0
2019-12-27,1403,484342.4872,270350.0514,0.29,263604.7986,recession,670.0,0.23,60277.2742,24432.922799999997,177.32,126905.26419999999,41,0,51657.748999999996,131554.59459999998,Salary,133243.56759999998,Groceries,Positive,39.0,Low,213992.4358,0
2020-01-26,1884,187131.1156,240078.8676,0.24,125961.9218,recession,647.0,0.32,29390.789999999997,49958.1368,531.96,102281.7224,86,0,27436.723599999998,286924.1518,Salary,70067.99799999999,Insurance,Positive,17.2,Medium,0.0,0
2020-02-25,1675,310956.33139999997,235959.724,0.26,309700.0192,normal,739.0,0.4,57707.0208,19509.633,620.62,124609.8568,74,0,22022.2574,250483.1186,Salary,89533.30099999999,Investments,Neutral,11.2,Medium,74996.6074,0
2020-03-26,1750,186060.1028,409085.2194,0.16,256813.4426,normal,620.0,0.29,58113.9702,25258.3474,88.66,122492.65599999999,58,0,43860.102,118152.74900000001,Salary,77036.674,Dining Out,Positive,94.2,Low,0.0,0
2020-04-25,1222,326060.449,309407.4412,0.3,183378.1378,normal,631.0,0.13,45388.600399999996,30793.3912,620.62,153342.7896,66,1,32121.518,228421.85080000001,Mixed,113899.7288,Groceries,Negative,50.0,Low,16653.0078,0
2020-05-25,1050,167052.2854,245065.9926,0.29,346140.1658,normal,676.0,0.41,48833.041399999995,34961.2978,531.96,150038.4314,59,0,56141.2852,223209.5294,Mixed,105289.06959999999,Dining Out,Positive,68.6,Low,0.0,0
2020-06-24,1234,327803.5046,312398.8296,0.17,276838.19019999995,normal,743.0,0.52,31168.423,21933.5974,531.96,43717.359399999994,62,0,45827.467399999994,193012.82,Salary,81478.54,Dining Out,Negative,90.6,Medium,15404.675,0
2020-07-24,1447,419036.4178,350063.3708,0.14,225168.9154,normal,691.0,0.48,32774.9422,36335.527799999996,620.62,117062.23099999999,96,0,42423.81,164058.2372,Salary,82429.8618,Transportation,Negative,73.7,Low,68973.047,0
2020-08-23,1347,258108.76519999997,167272.1622,0.17,206635.429,normal,631.0,0.52,39731.205799999996,9957.4046,620.62,126895.5116,35,0,67026.0734,154041.4304,Salary,133090.1858,Investments,Neutral,43.5,High,90836.60299999999,0
2020-09-22,1918,352204.5098,247692.1018,0.22,239427.2166,normal,759.0,0.44,41645.3752,84714.62999999999,620.62,120542.13599999998,82,0,49986.507999999994,204364.84639999998,Mixed,105261.58499999999,Insurance,Neutral,79.7,Low,104512.408,0
2020-10-22,1879,455433.12100000004,219419.3144,0.28,251538.1726,inflation,694.0,0.25,37998.789399999994,46955.2226,620.62,92703.78259999999,64,0,38573.3062,257152.12379999997,Salary,83634.7512,Healthcare,Neutral,81.4,Low,236013.8066,0
2020-11-21,1057,365653.3452,240507.982,0.26,268583.94419999997,normal,706.0,0.21,27351.61,22939.8884,443.29999999999995,54565.797,94,0,57010.15319999999,149149.1716,Salary,74393.7194,Utilities,Neutral,78.3,Low,125145.36319999999,0
2020-12-21,1129,409829.0767999999,196781.75660000002,0.18,225289.49300000002,normal,661.0,0.46,28236.4368,52431.750799999994,265.98,204524.4344,27,0,23100.363,146378.5466,Salary,80115.8358,Groceries,Negative,64.1,Low,213047.3202,0
2021-01-20,1680,430854.7958,250970.7486,0.4,236283.333,normal,609.0,0.32,69790.4922,40760.5484,177.32,68121.911,31,0,16569.6674,170337.1384,Salary,142856.97139999998,Healthcare,Positive,39.8,Low,179884.0472,0
2021-02-19,1621,480038.04419999995,295104.81,0.1,240044.29019999996,inflation,665.0,0.56,47940.2352,45419.6314,443.29999999999995,109395.80080000001,41,0,41493.766599999995,218161.229,Salary,85536.5082,Transportation,Positive,47.7,Medium,184933.23419999998,0
2021-03-21,1998,535728.9366,199162.2776,0.05,193785.0486,inflation,620.0,0.5,37175.138,51379.3566,443.29999999999995,134150.5594,22,0,34039.2338,175168.2218,Salary,37504.953199999996,Dining Out,Positive,27.9,Medium,336566.659,1
2021-04-20,1058,392137.86039999995,265017.15239999996,0.32,222199.69199999998,normal,662.0,0.38,39038.771199999996,28925.324999999997,797.9399999999999,28579.551,90,0,71740.1256,88660.0,Salary,143531.674,Groceries,Negative,27.3,High,127120.70799999998,0
2021-05-20,1334,355771.3016,194492.55539999998,0.3,295082.64499999996,normal,617.0,0.53,63856.4784,0.0,531.96,103556.6532,96,0,16285.955399999999,121910.1598,Freelance,43418.5752,Entertainment,Negative,65.4,Medium,161278.7462,0
2021-06-19,1256,280485.6626,354689.6496,0.22,243728.1132,recession,619.0,0.29,33505.5006,60866.86319999999,531.96,125148.90959999998,96,0,19572.581599999998,211883.2144,Salary,106198.72119999999,Entertainment,Negative,89.5,Low,0.0,0
2021-07-19,1421,264238.7176,184745.275,0.15,268308.2116,recession,690.0,0.23,32400.797,18928.023400000002,531.96,40241.8874,78,0,8538.8446,240254.4144,Salary,99989.8614,Rent,Positive,84.0,Medium,79493.4426,0
2021-08-18,1456,311727.67339999997,290460.79919999995,0.06,291631.1112,inflation,633.0,0.12,42469.0266,31383.8668,709.28,30851.9068,38,0,42811.254199999996,224842.6466,Salary,92389.03959999999,Groceries,Positive,98.8,Low,21266.8742,0
2021-09-17,1974,341786.9598,222561.4248,0.4,270798.671,normal,736.0,0.52,21964.6284,19851.8606,797.9399999999999,44142.040799999995,22,0,31212.753,180056.9342,Freelance,88154.63799999999,Insurance,Positive,80.7,Low,119225.53499999999,0
2021-10-17,1730,330309.9228,304184.48059999995,0.08,242884.9566,normal,771.0,0.43,52192.3688,65269.718799999995,797.9399999999999,78926.0186,70,0,0.0,148563.12900000002,Salary,74025.7804,Healthcare,Positive,88.5,Medium,26125.4422,0
2021-11-16,1340,480857.26259999996,303637.4484,0.39,234625.39099999997,recession,718.0,0.2,29307.4496,54104.765,354.64,65236.91459999999,86,0,48480.17459999999,202773.3994,Salary,156767.7254,Groceries,Positive,62.6,Medium,177219.8142,0
2021-12-16,1794,467590.1802,229018.5326,0.16,299082.0976,recession,602.0,0.44,37785.1188,55107.50959999999,620.62,79617.56659999999,71,0,48578.587199999994,228209.0668,Salary,121464.2,Transportation,Positive,72.8,Medium,238571.6476,0
2022-01-15,1776,379197.9334,246936.7186,0.31,299780.7384,inflation,731.0,0.22,42617.0888,25025.171599999998,620.62,207866.02980000002,29,0,42794.4088,186388.1448,Freelance,76863.787,Education,Positive,46.9,High,132261.2148,0
2022-02-14,1173,423918.03740000003,290788.8412,0.29,221945.23779999997,recession,691.0,0.36,65793.6994,0.0,620.62,0.0,62,0,10621.467999999999,209955.74599999998,Salary,135700.3362,Utilities,Positive,22.2,High,133129.19619999998,0
2022-03-16,1482,395218.79539999994,312284.4582,0.3,256045.64699999997,normal,632.0,0.13,34635.028999999995,0.0,265.98,102372.1556,35,0,41659.5608,206845.5532,Salary,142484.59939999998,Entertainment,Neutral,51.5,Medium,82934.3372,0
2022-04-15,1913,335376.8418,198729.6168,0.16,319707.95999999996,normal,689.0,0.5,50007.7864,24722.841,797.9399999999999,70128.2868,25,0,23095.0434,185547.64800000002,Salary,104766.8622,Rent,Negative,4.2,Low,136647.225,0
2022-05-15,1529,348743.22339999996,368331.7638,0.37,271178.1358,normal,635.0,0.13,78050.9444,49004.1552,265.98,18625.6928,52,0,53063.009999999995,288687.5992,Salary,107579.15740000001,Transportation,Negative,98.0,Low,0.0,0
2022-06-14,1737,358832.7314,209234.94019999998,0.07,274173.0706,normal,599.0,0.4,53410.557199999996,30358.070600000003,265.98,76015.31079999999,21,0,58700.8994,175474.9854,Salary,85967.3958,Rent,Neutral,77.9,Low,149597.79119999998,0
2022-07-14,1205,361395.00539999997,276401.983,0.32,214736.2932,normal,728.0,0.59,31816.5276,14192.6928,443.29999999999995,41831.5612,70,0,42758.9448,263339.70519999997,Salary,46029.612199999996,Education,Negative,4.2,High,84993.0224,0
2022-08-13,1756,368405.3516,279920.0118,0.17,201297.2104,normal,720.0,0.27,65878.813,21724.3598,177.32,119511.9068,27,0,61866.06139999999,246379.93379999997,Salary,123844.72099999999,Insurance,Positive,11.9,Low,88485.33979999999,0
2022-09-12,1957,168540.0002,317213.0676,0.4,305963.00019999995,recession,744.0,0.31,48658.3812,21037.2448,797.9399999999999,123952.8862,35,0,63827.22059999999,263304.2412,Salary,125784.6018,Education,Positive,5.2,Low,0.0,0
2022-10-12,1983,212978.1654,257284.2272,0.06,258875.67419999998,normal,705.0,0.18,60874.842599999996,40917.476599999995,531.96,139119.0658,54,0,62297.83559999999,231438.064,Salary,156258.817,Insurance,Positive,39.9,Low,0.0,0
2022-11-11,1206,333743.72459999996,258716.0862,0.22,250997.34660000002,normal,662.0,0.44,59516.57139999999,0.0,354.64,70005.0494,96,0,54892.0658,201718.3454,Salary,99993.40779999999,Groceries,Positive,66.0,Low,75027.6384,0
2022-12-11,1983,314709.30919999996,247995.319,0.07,204347.1144,normal,690.0,0.16,56723.78139999999,27825.941000000003,620.62,63235.8584,94,0,64054.1902,223682.0872,Salary,80397.77459999999,Insurance,Positive,71.6,High,66713.9902,0
2023-01-10,1984,418697.7366,272630.3866,0.34,259102.64379999996,normal,655.0,0.33,56108.481,11609.1404,265.98,58734.5902,82,0,65508.214199999995,172990.7322,Salary,83016.791,Healthcare,Positive,32.4,High,146067.35,0
2023-02-09,1368,300873.0296,302298.6824,0.4,269857.1018,normal,614.0,0.19,36829.363999999994,22143.721599999997,354.64,112119.43599999999,96,0,55519.7786,270295.9688,Mixed,81568.0866,Education,Neutral,41.1,Low,0.0,0
2023-03-11,1443,378130.46699999995,161241.509,0.09,262860.9412,normal,561.0,0.27,13643.0008,2692.6041999999998,709.28,126753.6556,35,0,41368.756,282377.66699999996,Salary,131686.698,Entertainment,Negative,27.8,Medium,216888.958,0
2023-04-10,1506,281075.2516,196311.8586,0.36,197576.15019999997,recession,661.0,0.28,27202.6612,41325.3126,177.32,96161.52259999998,40,0,82076.1084,188759.7998,Salary,91071.552,Utilities,Negative,67.7,Medium,84763.393,0
2023-05-10,1942,405475.8708,334145.3544,0.27,193481.8314,normal,749.0,0.55,12979.824,41193.2092,443.29999999999995,141075.792,86,0,26049.1946,171198.9136,Salary,60879.27559999999,Education,Neutral,54.3,Medium,71330.5164,0
2023-06-09,1353,248329.5672,147523.1472,0.24,210055.9318,normal,657.0,0.17,11147.2218,49082.176,354.64,125951.28259999999,82,0,43258.9872,199800.6296,Freelance,158509.0078,Education,Positive,23.0,Low,100806.42,0
